strategy,workload,composite_J
CPU,W1_CONSTANT,0.10421052631578949
LATENCY,W1_CONSTANT,0.0
STATIC,W1_CONSTANT,0.15789473684210528
TREND,W1_CONSTANT,0.6
WARPS,W1_CONSTANT,0.17842105263157898
CPU,W2_STEP_SPIKE,0.3479540987209575
LATENCY,W2_STEP_SPIKE,0.13754965700255767
STATIC,W2_STEP_SPIKE,0.5076923076923077
TREND,W2_STEP_SPIKE,0.6
WARPS,W2_STEP_SPIKE,0.2190674169161102
CPU,W3_RAMP,0.22499999999999998
LATENCY,W3_RAMP,0.0
STATIC,W3_RAMP,0.08333333333333333
TREND,W3_RAMP,0.3
WARPS,W3_RAMP,0.35833333333333334
CPU,W4_PERIODIC,0.5343396226415094
LATENCY,W4_PERIODIC,0.47200000000000003
STATIC,W4_PERIODIC,0.12452830188679247
TREND,W4_PERIODIC,0.5660377358490565
WARPS,W4_PERIODIC,0.54
CPU,W5_BURSTY,0.6960364608047893
LATENCY,W5_BURSTY,0.5163636363636364
STATIC,W5_BURSTY,0.3333253947910804
TREND,W5_BURSTY,0.5472727272727272
WARPS,W5_BURSTY,0.6345421242475396
