strategy,workload,n_reps,p95_latency_ms_mean,p95_latency_ms_ci95,mean_latency_ms_mean,mean_latency_ms_ci95,p99_latency_ms_mean,p99_latency_ms_ci95,sla_violation_rate_mean,sla_violation_rate_ci95,mean_replicas_mean,mean_replicas_ci95,replica_hours_mean,replica_hours_ci95,cost_usd_mean,cost_usd_ci95,n_scale_up_mean,n_scale_up_ci95,n_scale_down_mean,n_scale_down_ci95,n_oscillations_mean,n_oscillations_ci95,mean_utilization_pct_mean,mean_utilization_pct_ci95
CPU,W1_CONSTANT,5,97.94978088008065,0.9159488896541546,81.84395570546954,0.29082625156361486,104.32536913578224,2.268216188059446,0.0,0.0,1.6600000000000001,0.398494839234892,0.02075,0.004981185490436149,0.0004772500000000001,0.0001145672662800314,0.0,0.0,0.6,0.680087380658257,0.0,0.0,39.25696335709681,10.164963413902074
CPU,W2_STEP_SPIKE,8,238.10456236238332,332.04008643030755,105.34460831640648,56.86963548874532,587.7269103487097,1143.4716939752002,0.02417595734367426,0.05716705504032483,2.5,0.0,0.03125,0.0,0.00071875,0.0,3.0,0.0,1.0,0.0,1.0,0.0,67.92582840950453,0.6559675022590361
CPU,W3_RAMP,8,98.18595996266026,0.43909801340402776,81.47497512802872,0.3166525044864951,104.7027319100084,0.5926860112234837,0.0,0.0,2.5,0.0,0.03125,0.0,0.00071875,0.0,3.0,0.0,1.0,0.0,1.0,0.0,64.62361602678473,0.26338812539144585
CPU,W4_PERIODIC,5,98.09539508009038,0.7709949278568159,81.58481653190242,0.3986619755140317,104.45444359824617,1.482121347839752,0.0,0.0,2.6,0.0,0.0325,0.0,0.0007475,0.0,3.0,0.0,2.0,0.0,4.0,0.0,48.302379415036434,0.2576352958551021
CPU,W5_BURSTY,8,972.4427289748514,914.5649905287544,255.13685199646545,174.11577494026372,1648.1021513639612,1650.7885314741532,0.18089266121993852,0.16266248024370533,2.15,0.5509407776656579,0.026875000000000003,0.006886759720820723,0.000618125,0.00015839547357887664,3.25,0.7410533427603726,2.5,0.4468719795590525,4.125,0.8285228246828225,56.335358250879324,9.010097703626451
LATENCY,W1_CONSTANT,5,98.42026692998843,1.1055375959173661,81.9966313306733,0.4220420173332979,104.7992444137526,1.7716233855825874,0.0,0.0,1.0,0.0,0.0125,0.0,0.0002875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.185388998897,1.8498645908277227
LATENCY,W2_STEP_SPIKE,5,315.9688599201942,605.0297166339448,111.12008587181874,82.64075834552739,640.1355932421576,1485.4978888993724,0.025703200775945685,0.07136352598229065,1.16,0.4442312168316478,0.014499999999999999,0.005552890210395598,0.00033350000000000003,0.00012771647483909878,0.2,0.5552890210395598,1.4,1.1105780420791196,0.4,1.1105780420791196,81.28688842383443,1.6512982984730988
LATENCY,W3_RAMP,5,97.64467576998868,0.565883249546927,81.51003876454357,0.21996268053299667,104.96627106581577,0.9402190938733459,0.0,0.0,1.0,0.0,0.0125,0.0,0.0002875,0.0,0.0,0.0,1.0,0.0,0.0,0.0,88.55646265050419,1.6050074675033952
LATENCY,W4_PERIODIC,5,361.04009811964704,448.4549249818654,126.66361233918478,76.9961405800524,743.80275726248,1090.9583692824333,0.07802361568996838,0.132678272672877,1.56,0.9521223329215596,0.0195,0.011901529161519495,0.0004485,0.00027373517071494836,0.8,1.360174761316514,1.8,1.360174761316514,1.2,2.0402621419747713,77.42172086759972,14.402561112957201
LATENCY,W5_BURSTY,5,1233.2581167902922,1796.9739820052946,286.59802224294447,279.25999373668253,2044.622279101477,2662.519452984571,0.21616988148635521,0.266016412985317,1.8399999999999999,1.2216358462870314,0.023000000000000003,0.015270448078587892,0.0005290000000000001,0.0003512203058075215,1.2,1.360174761316514,2.0,1.2416639982037665,1.6,1.8830766883484422,58.92584659000946,10.862669364750314
STATIC,W1_CONSTANT,5,97.75550663991453,1.1568592555047925,81.83288795166317,0.4592795581494954,104.79983259174332,2.4540869861614794,0.0,0.0,2.0,0.0,0.025,0.0,0.000575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.646416537897856,0.17200019452698467
STATIC,W2_STEP_SPIKE,8,496.86813821251116,943.2614277316637,194.5188392845097,267.427706888736,658.7504195411839,1310.7400422990372,0.09559565875820293,0.2260478130466348,2.0,0.0,0.025,0.0,0.000575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.14891112118619,0.07723581575247133
STATIC,W3_RAMP,8,97.59370493119377,0.4719934895303459,81.16835906861803,0.19556415179540843,104.30266813499429,0.360503313818775,0.0,0.0,2.0,0.0,0.025,0.0,0.000575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.64646302499841,0.11326943265120801
STATIC,W4_PERIODIC,5,97.99448395010586,1.0374773140334945,81.63004846461213,0.4129699961117374,104.30133512784236,1.1887359828143162,0.0,0.0,2.0,0.0,0.025,0.0,0.000575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.512637592804005,0.3121140416239035
STATIC,W5_BURSTY,8,670.2097587124229,887.5386815352351,254.8179205499074,270.1953193435164,1005.390625404835,1394.3258113901525,0.16776535953796168,0.26125033955404303,2.0,0.0,0.025,0.0,0.000575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.55144517381336,13.896266670035839
TREND,W1_CONSTANT,5,98.95189423965348,0.9458727581302326,82.09671460697011,0.4434644011200947,104.84358866378898,0.9585166084446767,0.0,0.0,2.9,0.0,0.03625,0.0,0.00083375,0.0,2.0,0.0,1.0,0.0,2.0,0.0,21.521821964373398,0.13291196884191975
TREND,W2_STEP_SPIKE,5,97.97578611989593,0.6388911608176184,81.26211610386567,0.24829804677563874,104.57088130828922,0.8724042578508145,0.0,0.0,3.5,0.0,0.043750000000000004,0.0,0.00100625,0.0,4.0,0.0,2.0,0.0,4.0,0.0,47.27978464961812,0.1533931068849244
TREND,W3_RAMP,5,97.8993915704632,0.6089536190700066,81.54423394496234,0.4029301061814875,104.10912627392824,0.8219327413082043,0.0,0.0,4.6,0.0,0.057499999999999996,0.0,0.0013224999999999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,30.765553410581656,0.13522887607724404
TREND,W4_PERIODIC,5,97.86758672016731,0.46759456955687023,81.27414594590235,0.24834516056986455,104.63110787645567,1.5796597044773641,0.0,0.0,2.5,0.0,0.03125,0.0,0.00071875,0.0,3.0,0.0,3.0,0.0,5.0,0.0,40.5044765065261,0.15503487582802886
TREND,W5_BURSTY,5,245.84713969006742,408.52493876103654,102.68366396951528,58.35928990468722,440.11437502598693,929.6227586261211,0.029275653923541246,0.08128224603748081,3.1399999999999997,0.1665867063118679,0.03925000000000001,0.0020823338288983484,0.0009027500000000001,4.789367806466202e-05,3.6,0.6800873806582569,1.8,0.5552890210395598,3.4,1.1105780420791194,38.009576266512255,14.88922574190585
WARPS,W1_CONSTANT,5,97.76463447989954,0.4518555904745579,81.7675092185713,0.4108014093175453,103.59420356424377,1.6098502629591736,0.0,0.0,1.94,0.06800873806582576,0.02425,0.000850109225822822,0.0005577499999999999,1.9552512193924902e-05,0.2,0.5552890210395598,0.6,0.680087380658257,0.2,0.5552890210395598,31.20774717310178,1.782947278971084
WARPS,W2_STEP_SPIKE,8,227.57235635018543,307.0513639912942,100.27282631013975,45.07507934727574,488.9675247127627,909.0922717438348,0.015261627906976744,0.036088015467622435,1.7125,0.029557803144909835,0.02140625,0.0003694725393113729,0.00049234375,8.497868404161575e-06,1.0,0.0,1.25,0.5911560628981961,1.125,0.29557803144909806,81.9253816676226,0.6750704916254713
WARPS,W3_RAMP,8,97.91349003105552,0.44052491987443854,81.42031332941191,0.14367108973861367,104.73139527361465,0.6867375422929085,0.0,0.0,1.7,0.0,0.02125,0.0,0.00048875,0.0,2.0,0.0,2.0,0.0,3.0,0.0,80.90687802836925,0.21025719667569326
WARPS,W4_PERIODIC,5,98.18843925992041,0.5319765522926301,81.69024745574679,0.29373724404719487,105.09755886150019,1.114158027958246,0.0,0.0,2.62,0.05552890210395602,0.03275,0.0006941112762994502,0.0007532499999999999,1.596455935488735e-05,3.0,0.0,2.0,0.0,4.0,0.0,47.79605984590307,1.5499740759121206
WARPS,W5_BURSTY,8,1139.4781019247716,1049.0755062474004,289.7532475423712,221.62007956589795,1862.1931983450331,1771.6323892691414,0.17225471673865456,0.17057057376578844,2.2,0.7219437772847817,0.0275,0.009024297216059773,0.0006325,0.00020755883596937475,2.625,0.8867340943472941,2.5,0.4468719795590525,3.375,0.765899985613585,54.96813355216092,6.349804539410042
